,Test Accuracy,Test 0 AUC,Test 0 Precision,Test 0 Recall,Test 1 AUC,Test 1 Precision,Test 1 Recall,Train Accuracy,Train AUC,Train Precision,Train Recall,Pred_alone,Pred_all
LogisticRegression,0.0,0.591518953128759,0.2728880157170923,0.7086734693877551,0.5916269238792824,0.2730844793713163,0.7088220295767466,1.0,0.5886868752081723,0.2769360269360269,0.7035928143712575,1,1
SVC,1.0,0.5001840894005665,0.5,0.0005102040816326531,0.5001840894005665,0.5,0.0005102040816326531,0.0,0.5009623609923011,1.0,0.001924721984602224,0,0
KNeighborsClassifier,1.0,0.513140889078256,0.36981132075471695,0.05,0.513140889078256,0.36981132075471695,0.05,0.0,0.5295973233635646,0.5604395604395604,0.07634730538922156,0,0
